fips,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,area_sqmi,pop_density,year,dem,repub,other
36077,62604,30298,32306,1886,32454.0,7.0,29822.0,2625.0,45268.0,22902.0,8635.0,60354.0,2250.0,24926,1837.0,1649.0,3266.0,18174.0,18037,26063,5570,3339,5648,34018,10777,2274,1552,1822,16873,11018,6127,3962,4834,1981,59377,28606,30771,1216,700,516,2011,992,1019,1001.7,62.497753818508535,2008,13570,12026,505
5047,17960,8917,9043,460,7799.0,50.0,6872.0,877.0,39879.0,20021.0,3512.0,17848.0,112.0,6783,642.0,619.0,769.0,4753.0,3231,7783,2297,1129,2368,9769,1552,720,897,751,4332,3432,2005,680,530,342,17093,8473,8620,173,129,44,694,315,379,619.64,28.984571686785877,2012,1726,4631,183
29063,11838,7127,4711,340,4395.0,14.0,4245.0,136.0,67910.0,25591.0,959.0,11651.0,187.0,3715,98.0,249.0,348.0,3020.0,3452,4317,1527,780,1157,7223,1315,761,246,150,2977,2613,1633,544,415,356,10222,5772,4450,974,903,71,642,452,190,425.82,27.800479075665773,2020,930,3828,85
29199,4862,2402,2460,44,2293.0,0.0,2212.0,81.0,39450.0,20556.0,668.0,4850.0,12.0,1885,228.0,88.0,260.0,1309.0,787,2107,490,331,911,2026,551,445,217,249,668,797,561,262,204,85,4806,2389,2417,42,9,33,14,4,10,439.292,11.067809111024102,2012,643,1246,47
13175,49407,23587,25820,1437,20607.0,0.0,19467.0,1140.0,46776.0,27565.0,11823.0,48555.0,852.0,17813,1552.0,1473.0,2510.0,12278.0,13783,17094,5253,3216,5153,26235,5881,1756,1739,1658,11730,8611,5894,2611,1908,1362,28879,14178,14701,18500,8385,10115,2028,1024,1004,818.467,60.36529267520865,2020,8073,14493,163
17035,10447,5400,5047,175,5629.0,0.0,5524.0,105.0,71274.0,34338.0,1000.0,10295.0,152.0,4142,121.0,111.0,220.0,3690.0,2112,4895,862,639,561,6191,1349,202,130,229,2385,2284,1522,599,374,376,10053,5070,4983,12,12,0,382,318,64,346.922,30.113397247796332,2020,1142,4601,89
12021,316931,157541,159390,79741,144606.0,161.0,133647.0,10798.0,58106.0,37046.0,38196.0,242059.0,74872.0,119517,6165.0,4664.0,10857.0,97831.0,61324,148977,34736,19993,41281,139501,73108,21169,11477,8635,54342,43850,41309,16351,27154,29603,271973,133490,138483,21020,10780,10240,23938,13271,10667,1998.324,158.59840546377865,2008,54450,86379,1159
48087,2996,1496,1500,834,1446.0,0.0,1322.0,124.0,42750.0,22880.0,467.0,2672.0,324.0,1055,83.0,42.0,152.0,778.0,592,1356,251,176,545,1349,376,254,180,111,579,456,314,138,121,117,2346,1168,1178,222,138,84,428,190,238,919.316,3.2589446936635498,2016,145,983,28
12131,57821,29335,28486,3313,27173.0,103.0,24836.0,2234.0,44468.0,25854.0,9808.0,54496.0,3325.0,22638,1885.0,1420.0,2802.0,16531.0,11502,24936,8377,3251,7267,28328,10601,3247,2409,1611,11322,11151,5855,3940,3917,2744,50115,25114,25001,3162,1973,1189,4544,2248,2296,1239.589,46.64529936938776,2012,6671,21490,333
18115,6067,2978,3089,86,3425.0,4.0,3172.0,249.0,50966.0,25703.0,506.0,6047.0,20.0,2495,106.0,141.0,285.0,1963.0,1038,3128,561,262,949,3271,524,321,344,284,1422,1252,597,233,227,64,5913,2914,2999,51,9,42,103,55,48,86.14,70.43185511957279,2008,1158,1713,47
45059,67026,32636,34390,2500,31228.0,0.0,27698.0,3530.0,37529.0,18757.0,12430.0,64951.0,2075.0,25583,2405.0,1921.0,3947.0,17310.0,15865,25710,8022,4668,12817,31739,6681,5039,4137,3641,15418,11753,4568,2407,2872,1402,47964,23547,24417,16929,7989,8940,2133,1100,1033,713.804,93.89972597519768,2008,10578,15334,370
53027,71734,36900,34834,6657,30760.0,74.0,26084.0,4602.0,43379.0,22190.0,12862.0,67604.0,4130.0,27318,2588.0,1671.0,3173.0,19886.0,16596,28364,10105,4232,8144,40582,7843,3644,2539,1961,16832,14954,8796,2301,3772,1770,61989,31418,30571,911,743,168,8834,4739,4095,2224.392,32.248812259709624,2012,15960,11914,810
17135,28352,15006,13346,536,12206.0,8.0,11520.0,678.0,61796.0,30918.0,3640.0,28034.0,318.0,11259,666.0,654.0,1218.0,8721.0,6648,11502,3875,1656,2541,16249,3897,1393,667,481,6026,5723,4500,1737,1214,946,26527,13590,12937,780,751,29,1045,665,380,709.73,39.94758570160484,2020,3905,9544,278
34011,155456,79983,75473,39495,73284.0,116.0,64292.0,8876.0,50651.0,21883.0,22519.0,139114.0,16342.0,50825,3856.0,3740.0,5521.0,37708.0,47500,52131,15587,9315,28256,75061,14366,13394,7767,7095,40083,24699,10279,6201,6173,1992,101800,50167,51633,31134,17832,13302,22522,11984,10538,483.703,321.38729757723235,2008,34919,22360,205
27065,16379,8279,8100,188,8642.0,3.0,7795.0,844.0,45672.0,21304.0,2036.0,16247.0,132.0,6439,354.0,344.0,769.0,4972.0,3166,7605,1540,865,1771,9064,1587,651,501,619,3646,3615,1803,688,693,206,15899,8031,7868,91,29,62,389,219,170,521.586,31.402299908356436,2008,3743,4479,277
